tourney_slug,singles_winner_player_slug,tourney_round_name,winner_slug,loser_slug,year,ranking_points_winner,rank_number_winner,ranking_points_norm_winner,ranking_points_loser,rank_number_loser,ranking_points_norm_loser,avg_ranking_round_norm_loser,std_ranking_round_norm_loser,rounds_weights,diff_rank_mean,diff_rank_mean_weighted
wimbledon,lleyton-hewitt,Round of 32,lleyton-hewitt,julian-knowle,2002,4260.0,1.0,8188.489592442796,391,95,751.5726363016745,1426.5772943695285,530.5348443151503,0.5,0.5268362529447307,0.26341812647236534
wimbledon,lleyton-hewitt,Round of 64,lleyton-hewitt,gregory-carraz,2002,4260.0,1.0,8188.489592442796,221,168,424.8019248661638,931.8295297386652,414.8687942994836,0.25,0.4558794407227049,0.11396986018067623
wimbledon,lleyton-hewitt,Round of 128,lleyton-hewitt,jonas-bjorkman,2002,4260.0,1.0,8188.489592442796,810,47,1556.966330957433,896.583354269583,380.32793217071907,0.25,1.736555026973306,0.4341387567433265
us-open,pete-sampras,Finals,pete-sampras,andre-agassi,2002,1560.0,17.0,2998.6018225846865,2425,6,4661.288089594784,6669.908109750534,3759.480494370115,1.0,0.698853419401774,0.698853419401774
us-open,pete-sampras,Semi-Finals,pete-sampras,sjeng-schalken,2002,1560.0,17.0,2998.6018225846865,1300,25,2498.834852153905,4792.697779685571,3119.979544662478,1.0,0.5213837731946126,0.5213837731946126
us-open,pete-sampras,Quarter-Finals,pete-sampras,andy-roddick,2002,1560.0,17.0,2998.6018225846865,1995,11,3834.7504077284925,3169.480598413816,1932.2877945875562,1.0,1.2098986848657836,1.2098986848657836
us-open,pete-sampras,Round of 16,pete-sampras,tommy-haas,2002,1560.0,17.0,2998.6018225846865,2945,3,5660.8220304563465,1960.9359917208542,1005.7004458994704,0.5,2.8867959251890682,1.4433979625945341
us-open,pete-sampras,Round of 32,pete-sampras,greg-rusedski,2002,1560.0,17.0,2998.6018225846865,1020,35,1960.624268613064,1426.5772943695285,530.5348443151503,0.5,1.374355442464515,0.6871777212322575
us-open,pete-sampras,Round of 64,pete-sampras,kristian-pless,2002,1560.0,17.0,2998.6018225846865,464,85,891.8918241533937,931.8295297386652,414.8687942994836,0.25,0.9571405452277605,0.23928513630694012
us-open,pete-sampras,Round of 128,pete-sampras,albert-portas,2002,1560.0,17.0,2998.6018225846865,516,76,991.8452182395499,896.583354269583,380.32793217071907,0.25,1.106249869034847,0.27656246725871175
australian-open,andre-agassi,Finals,andre-agassi,rainer-schuettler,2003,3395.0,2.0,6525.803325432698,945,36,1816.4607194503385,6669.908109750534,3759.480494370115,1.0,0.2723366933338872,0.2723366933338872
australian-open,andre-agassi,Semi-Finals,andre-agassi,wayne-ferreira,2003,3395.0,2.0,6525.803325432698,930,39,1787.6280096177936,4792.697779685571,3119.979544662478,1.0,0.37298993005460745,0.37298993005460745
australian-open,andre-agassi,Quarter-Finals,andre-agassi,sebastien-grosjean,2003,3395.0,2.0,6525.803325432698,1640,16,3152.3762750249266,3169.480598413816,1932.2877945875562,1.0,0.994603430165356,0.994603430165356
australian-open,andre-agassi,Round of 16,andre-agassi,guillermo-coria,2003,3395.0,2.0,6525.803325432698,810,45,1556.966330957433,1960.9359917208542,1005.7004458994704,0.5,0.7939914089654143,0.39699570448270716
australian-open,andre-agassi,Round of 32,andre-agassi,nicolas-escude,2003,3395.0,2.0,6525.803325432698,945,37,1816.4607194503385,1426.5772943695285,530.5348443151503,0.5,1.273299895224477,0.6366499476122385
australian-open,andre-agassi,Round of 64,andre-agassi,hyung-taik-lee,2003,3395.0,2.0,6525.803325432698,598,67,1149.4640319907962,931.8295297386652,414.8687942994836,0.25,1.2335561337202603,0.3083890334300651
australian-open,andre-agassi,Round of 128,andre-agassi,brian-vahaly,2003,3395.0,2.0,6525.803325432698,421,93,809.2380559667646,896.583354269583,380.32793217071907,0.25,0.9025798350071135,0.22564495875177837
roland-garros,juan-carlos-ferrero,Finals,juan-carlos-ferrero,martin-verkerk,2003,3460.0,3.0,6650.745068040394,793,46,1524.289259813882,6669.908109750534,3759.480494370115,1.0,0.22853227281880695,0.22853227281880695
roland-garros,juan-carlos-ferrero,Semi-Finals,juan-carlos-ferrero,albert-costa,2003,3460.0,3.0,6650.745068040394,1920,9,3690.5868585657677,4792.697779685571,3119.979544662478,1.0,0.7700437265643509,0.7700437265643509
roland-garros,juan-carlos-ferrero,Quarter-Finals,juan-carlos-ferrero,fernando-gonzalez,2003,3460.0,3.0,6650.745068040394,1276,20,2452.7025164218326,3169.480598413816,1932.2877945875562,1.0,0.7738499859091427,0.7738499859091427
roland-garros,juan-carlos-ferrero,Round of 16,juan-carlos-ferrero,felix-mantilla,2003,3460.0,3.0,6650.745068040394,1255,21,2412.3367226562696,1960.9359917208542,1005.7004458994704,0.5,1.2301965657427099,0.6150982828713549
roland-garros,juan-carlos-ferrero,Round of 32,juan-carlos-ferrero,tim-henman,2003,3460.0,3.0,6650.745068040394,1130,28,2172.064140718394,1426.5772943695285,530.5348443151503,0.5,1.5225702450832368,0.7612851225416184
roland-garros,juan-carlos-ferrero,Round of 64,juan-carlos-ferrero,nicolas-massu,2003,3460.0,3.0,6650.745068040394,502,84,964.9346890625079,931.8295297386652,414.8687942994836,0.25,1.0355270553972755,0.2588817638493189
roland-garros,juan-carlos-ferrero,Round of 128,juan-carlos-ferrero,michel-kratochvil,2003,3460.0,3.0,6650.745068040394,490,85,941.8685211964719,896.583354269583,380.32793217071907,0.25,1.0505085965640988,0.2626271491410247
wimbledon,roger-federer,Finals,roger-federer,mark-philippoussis,2003,2580.0,5.0,4959.22609119775,735,48,1412.8027817947077,6669.908109750534,3759.480494370115,1.0,0.21181742814857893,0.21181742814857893
wimbledon,roger-federer,Semi-Finals,roger-federer,andy-roddick,2003,2580.0,5.0,4959.22609119775,2390,6,4594.011766652179,4792.697779685571,3119.979544662478,1.0,0.9585440137962493,0.9585440137962493
wimbledon,roger-federer,Quarter-Finals,roger-federer,sjeng-schalken,2003,2580.0,5.0,4959.22609119775,1715,12,3296.5398241876514,3169.480598413816,1932.2877945875562,1.0,1.040088343130235,1.040088343130235
wimbledon,roger-federer,Round of 16,roger-federer,feliciano-lopez,2003,2580.0,5.0,4959.22609119775,723,52,1389.7366139286717,1960.9359917208542,1005.7004458994704,0.5,0.7087108502246846,0.3543554251123423
wimbledon,roger-federer,Round of 32,roger-federer,mardy-fish,2003,2580.0,5.0,4959.22609119775,840,45,1614.6317506225232,1426.5772943695285,530.5348443151503,0.5,1.131822129088424,0.565911064544212
wimbledon,roger-federer,Round of 64,roger-federer,stefan-koubek,2003,2580.0,5.0,4959.22609119775,605,70,1162.9192965793175,931.8295297386652,414.8687942994836,0.25,1.247995754014645,0.3119989385036612
wimbledon,roger-federer,Round of 128,roger-federer,hyung-taik-lee,2003,2580.0,5.0,4959.22609119775,686,55,1318.6159296750607,896.583354269583,380.32793217071907,0.25,1.4707120351897385,0.3676780087974346
us-open,andy-roddick,Finals,andy-roddick,juan-carlos-ferrero,2003,3415.0,4.0,6564.246938542758,3625,3,6967.9048761983895,6669.908109750534,3759.480494370115,1.0,1.04467779188925,1.04467779188925
us-open,andy-roddick,Semi-Finals,andy-roddick,david-nalbandian,2003,3415.0,4.0,6564.246938542758,1700,13,3267.7071143551066,4792.697779685571,3119.979544662478,1.0,0.6818095495621858,0.6818095495621858
us-open,andy-roddick,Quarter-Finals,andy-roddick,sjeng-schalken,2003,3415.0,4.0,6564.246938542758,1715,12,3296.5398241876514,3169.480598413816,1932.2877945875562,1.0,1.040088343130235,1.040088343130235
us-open,andy-roddick,Round of 16,andy-roddick,xavier-malisse,2003,3415.0,4.0,6564.246938542758,565,67,1086.032070359197,1960.9359917208542,1005.7004458994704,0.5,0.5538335136610605,0.27691675683053024
us-open,andy-roddick,Round of 32,andy-roddick,flavio-saretta,2003,3415.0,4.0,6564.246938542758,733,49,1408.9584204837017,1426.5772943695285,530.5348443151503,0.5,0.9876495483593033,0.49382477417965165
us-open,andy-roddick,Round of 64,andy-roddick,ivan-ljubicic,2003,3415.0,4.0,6564.246938542758,830,43,1595.4099440674931,931.8295297386652,414.8687942994836,0.25,1.7121264063341406,0.42803160158353515
us-open,andy-roddick,Round of 128,andy-roddick,tim-henman,2003,3415.0,4.0,6564.246938542758,1020,33,1960.624268613064,896.583354269583,380.32793217071907,0.25,2.186772996929349,0.5466932492323372
australian-open,roger-federer,Finals,roger-federer,marat-safin,2004,4375.0,2.0,8409.540367825643,430,86,826.5376818662916,6669.908109750534,3759.480494370115,1.0,0.12392040014134549,0.12392040014134549
australian-open,roger-federer,Semi-Finals,roger-federer,juan-carlos-ferrero,2004,4375.0,2.0,8409.540367825643,4145,3,7967.43881705995,4792.697779685571,3119.979544662478,1.0,1.6624121076089762,1.6624121076089762
australian-open,roger-federer,Quarter-Finals,roger-federer,david-nalbandian,2004,4375.0,2.0,8409.540367825643,2060,8,3959.692150336188,3169.480598413816,1932.2877945875562,1.0,1.2493189427686788,1.2493189427686788
australian-open,roger-federer,Round of 16,roger-federer,lleyton-hewitt,2004,4375.0,2.0,8409.540367825643,1625,11,3123.5435651923817,1960.9359917208542,1005.7004458994704,0.5,1.5928839994676525,0.7964419997338262
